country,pop
阿拉巴马州,4903185
阿拉斯加州,731545
亚利桑那州,7278717
阿肯色州,3017804
加利福尼亚州,39512223
科罗拉多州,5758736
康涅狄格州,3565287
特拉华州,973764
华盛顿哥伦比亚特区,705749
佛罗里达州,21477737
佐治亚州,10617423
夏威夷州,1415872
爱达荷州,1787065
伊利诺伊州,12671821
印第安纳州,6732219
爱荷华州,3155070
堪萨斯州,2913314
肯塔基州,4467673
路易斯安那州,4648794
缅因州,1344212
马里兰州,6045680
马萨诸塞州,6892503
密歇根州,9986857
明尼苏达州,5639632
密西西比州,2976149
密苏里州,6137428
蒙大拿州,1068778
内布拉斯加州,1934408
内华达州,3080156
新罕布什尔州,1359711
新泽西州,8882190
新墨西哥州,2096829
纽约州,19453561
北卡罗来纳州,10488084
北达科他州,762062
俄亥俄州,11689100
俄克拉何马州,3956971
俄勒冈州,4217737
宾夕法尼亚州,12801989
罗得岛州,1059361
南卡罗来纳州,5148714
南达科他州,884659
田纳西州,6829174
德克萨斯州,28995881
犹他州,3205958
佛蒙特州,623989
弗吉尼亚州,8535519
华盛顿州,7614893
西弗吉尼亚州,1792147
威斯康星州,5822434
怀俄明州,578759
